Mods count: 203
 
                                  jar name                                   | notes |                        mod id                        |                 mod name                  |           mod version           |                                                                                                                                                                         mixin configs                                                                                                                                                                         |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------+-------+------------------------------------------------------+-------------------------------------------+---------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fabric-loader-0.19.2.jar (modloader)                                         |       | fabric                                               | fabric                                    | fabric-loader-0.19.2.jar        |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
[1.20.1-Fabric] Hybrid Aquatic 1.5.4.jar                                     |       | hybrid-aquatic                                       | Hybrid Aquatic                            | 1.5.4                           | hybrid-aquatic.fabric.mixins.json                                                                                                                                                                                                                                                                                                                             | 5449e902be5d4faf4d94371a398720c9e6cb4224 | 3067132933     
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                         |       | reach-entity-attributes                              | Reach Entity Attributes                   | 2.4.0                           | mixins.reach-entity-attributes.json                                                                                                                                                                                                                                                                                                                           |                                          |                
[fabric]ctov-3.4.14.jar                                                      |       | ctov                                                 | ChoiceTheorem's Overhauled Village        | 3.4.14                          | ctov-common.mixins.json, ctov.mixins.json                                                                                                                                                                                                                                                                                                                     | 398954d32ba01fe63e2ae8a49c5921089f7e3eb7 | 1708895956     
advancementinfo-1.20-fabric0.83.0-1.4.jar                                    |       | advancementinfo                                      | AdvancementInfo                           | 1.20-fabric0.83.0-1.4           | mixins.advancementinfo.json                                                                                                                                                                                                                                                                                                                                   | dfa603a2db09d6e303dd2991f016550ae156e3d1 | 81354752       
alloy-forgery-2.1.2+1.20.jar                                                 |       | alloy_forgery                                        | Alloy Forgery                             | 2.1.2+1.20                      | alloy-forgery.mixins.json                                                                                                                                                                                                                                                                                                                                     | 2a5b1cdd7dacaba4012c0a3d116d726302f62dca | 927358313      
    /META-INF/jars/owo-sentinel-0.11.1+1.20.jar                              |       | owo-sentinel                                         | oωo-sentinel                              | 0.11.1+1.20                     |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
almostunified-fabric-1.20.1-0.11.0.jar                                       |       | almostunified                                        | AlmostUnified                             | 1.20.1-0.11.0                   | almostunified-common.mixins.json                                                                                                                                                                                                                                                                                                                              | ecdeda6f53f373321011acfde3fc4e4d3cf0c652 | 3241778400     
amendments-1.20-2.2.5-fabric.jar                                             |       | amendments                                           | Amendments                                | 1.20-2.2.5                      | amendments-common.mixins.json, amendments.mixins.json                                                                                                                                                                                                                                                                                                         | 7c86a37978ad8e6d981124d45c7483745c579877 | 248332794      
animatica-0.6.1+1.20.4.jar                                                   |       | animatica                                            | Animatica                                 | 0.6.1+1.20.4                    | animatica.mixins.json                                                                                                                                                                                                                                                                                                                                         | f6abc5ab768db299e688fa2c07dc0840fb57e487 | 1524237127     
another_furniture-fabric-1.20.1-3.0.5.jar                                    |       | another_furniture                                    | Another Furniture                         | 1.20.1-3.0.5                    | another_furniture-common.mixins.json, another_furniture.mixins.json                                                                                                                                                                                                                                                                                           | c0cd2d6e8035809b845c22a554038e1dba179bac | 1755890193     
appleskin-fabric-mc1.20.1-2.5.2.jar                                          |       | appleskin                                            | AppleSkin                                 | 2.5.2+mc1.20.1                  | appleskin.jei.mixins.json, appleskin.mixins.json                                                                                                                                                                                                                                                                                                              | f859bb13130788ae2dc2e76a9c80c89e4bbbef5f | 1278481270     
    /META-INF/jars/cloth-config-fabric-11.1.136.jar                          |       | cloth-config                                         | Cloth Config v11                          | 11.1.136                        |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
        /META-INF/jars/basic-math-0.6.1.jar                                  |       | cloth-basic-math                                     |                                           | 0.6.1                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
Aquamirae-6.jar                                                              |       | aquamirae                                            | Aquamirae                                 | 6                               | aquamirae.mixins.json                                                                                                                                                                                                                                                                                                                                         | 13feb2c346d372b3bec57f1ad2e151d87f65e5d6 | 753585006      
architectury-9.2.14-fabric.jar                                               |       | architectury                                         | Architectury                              | 9.2.14                          | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                     | 4fa65e32dbf63a871a30fe8ec6fbff9a4b8d007d | 376046230      
athena-fabric-1.20.1-3.1.2.jar                                               |       | athena                                               | Athena                                    | 3.1.2                           | athena.mixins.json                                                                                                                                                                                                                                                                                                                                            | 53014ceff1e10085609c16adbe246df51113bfe9 | 2799729741     
balm-fabric-1.20.1-7.3.38.jar                                                |       | balm                                                 | Balm                                      | 7.3.38                          | balm.mixins.json                                                                                                                                                                                                                                                                                                                                              | e5946a840a03ffc0f33d6f4bc24341651f2d3ad5 | 2936995298     
    /META-INF/jars/kuma-api-fabric-20.1.12+1.20.1.jar                        |       | kuma_api                                             | KumaAPI                                   | 20.1.12                         | kuma_api.fabric.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                             |                                          |                
bbb-fabric-2.0pre4.jar                                                       |       | bbb                                                  | Building But Better                       | 2.0pre4                         | bbb.mixins.json                                                                                                                                                                                                                                                                                                                                               | bd63e4318dc4e74c0ec82a6e26b8af6850dc26a4 | 709412560      
    /META-INF/jars/midnightlib-1.4.1-fabric.jar                              |       | midnightlib                                          | MidnightLib                               | 1.4.1                           | midnightlib.mixins.json                                                                                                                                                                                                                                                                                                                                       |                                          |                
bettermounthud-1.2.2.jar                                                     |       | bettermounthud                                       | Better Mount HUD                          | 1.2.2                           | bettermounthud.mixins.json                                                                                                                                                                                                                                                                                                                                    | 6942fb39ca2e87208b0b0630a5efc4511c82dcf4 | 3044593983     
blahaj-fabric-1.20.0-0.3.2.jar                                               |       | blahaj                                               | Blåhaj                                    | 0.3.2                           | blahaj.mixins.json                                                                                                                                                                                                                                                                                                                                            | 205a69e9f7bfd7cdbad89466d0c7f0876125c0f0 | 3059786611     
BlazingBamboo-Fabric-1.20.1-1.0.1.jar                                        |       | blazingbamboo                                        | Blazing Bamboo                            | 1.20.1-1.0.1                    | blazingbamboo.mixins.json                                                                                                                                                                                                                                                                                                                                     | aabf844576d031ad6142607e715b3f537aa6a963 | 4168945893     
BlockRunner-v8.0.4-1.20.1-Fabric.jar                                         |       | blockrunner                                          | Block Runner                              | 8.0.4                           | blockrunner.common.mixins.json                                                                                                                                                                                                                                                                                                                                | cd94847822a096d410d7544f92c7713d5201c022 | 240630026      
